analysis,metric,method_a,method_b,rank_a,rank_b,absolute_rank_difference,nemenyi_q,nemenyi_p,critical_difference,reject_nemenyi
sensitivity_9block,Weighted-F1,GOVERN,TiReMGE,4.444444444444445,8.5,4.055555555555555,2.8415211461895584,0.12269886197014568,4.51536126139487,False
sensitivity_9block,Weighted-F1,DS,MV,4.222222222222222,8.222222222222221,3.999999999999999,2.802596198981482,0.13535994274739604,4.51536126139487,False
sensitivity_9block,Weighted-F1,GCRN,PM,2.111111111111111,5.888888888888889,3.777777777777778,2.646896410149178,0.19591244804093388,4.51536126139487,False
sensitivity_9block,Weighted-F1,GOVERN,MV,4.444444444444445,8.222222222222221,3.777777777777777,2.646896410149177,0.19591244804093422,4.51536126139487,False
sensitivity_9block,Weighted-F1,EBCC,TiReMGE,4.777777777777778,8.5,3.7222222222222223,2.607971462941102,0.21362467794169082,4.51536126139487,False
sensitivity_9block,Weighted-F1,GCRN,BWA,2.111111111111111,5.722222222222222,3.611111111111111,2.5301215685249496,0.25217521388417474,4.51536126139487,False
sensitivity_9block,Weighted-F1,CrowdFM,TiReMGE,4.888888888888889,8.5,3.6111111111111107,2.530121568524949,0.25217521388417485,4.51536126139487,False
sensitivity_9block,Weighted-F1,EBCC,MV,4.777777777777778,8.222222222222221,3.4444444444444438,2.4133467269007203,0.31756575498687434,4.51536126139487,False
sensitivity_9block,Weighted-F1,CrowdFM,MV,4.888888888888889,8.222222222222221,3.333333333333332,2.335496832484568,0.36576619386399667,4.51536126139487,False
sensitivity_9block,Weighted-F1,GCRN,CrowdFM,2.111111111111111,4.888888888888889,2.777777777777778,1.9462473604038075,0.6370596773910266,4.51536126139487,False
sensitivity_9block,Weighted-F1,BWA,TiReMGE,5.722222222222222,8.5,2.7777777777777777,1.946247360403807,0.6370596773910271,4.51536126139487,False
sensitivity_9block,Weighted-F1,GCRN,EBCC,2.111111111111111,4.777777777777778,2.6666666666666665,1.8683974659876548,0.690644337585808,4.51536126139487,False
sensitivity_9block,Weighted-F1,PM,TiReMGE,5.888888888888889,8.5,2.6111111111111107,1.8294725187795784,0.7164719480657455,4.51536126139487,False
sensitivity_9block,Weighted-F1,BWA,MV,5.722222222222222,8.222222222222221,2.499999999999999,1.7516226243634259,0.7655640351059616,4.51536126139487,False
